nombre,genero,fuente,ultimo_caracter,,
YULY TATIANA,FEMENINO,TUNJA,A,,
AHIDA FABIOLA,FEMENINO,TUNJA,A,,
LEIDY PATRICIA,FEMENINO,TUNJA,A,,
MARITZA ESMERALDA,FEMENINO,TUNJA,A,,
DEISY CAROLINA,FEMENINO,TUNJA,A,,
JULANA,FEMENINO,TUNJA,A,,
SANDRA MARCELA,FEMENINO,TUNJA,A,,
ANNY CAMILA,FEMENINO,TUNJA,A,,
YINA ALEXANDRA,FEMENINO,TUNJA,A,,
ANDREA LILIANA,FEMENINO,TUNJA,A,,
CARMEN TERESA,FEMENINO,TUNJA,A,,
KAREN TATIANA,FEMENINO,TUNJA,A,,
MARIA ERICA,FEMENINO,TUNJA,A,,
LIZETH TATIANA,FEMENINO,TUNJA,A,,
YEIMY ELIANA,FEMENINO,TUNJA,A,,
ANGELICA MARIA,FEMENINO,TUNJA,A,,
ANDREA JIMENA,FEMENINO,TUNJA,A,,
SANDRA LILIANA,FEMENINO,TUNJA,A,,
ANA ELVIA,FEMENINO,TUNJA,A,,
GLORIA SANDRA,FEMENINO,TUNJA,A,,
RUBY CAROLINA,FEMENINO,TUNJA,A,,
LESDY MARCELA,FEMENINO,TUNJA,A,,
PAOLA ANDREA,FEMENINO,TUNJA,A,,
YOLANDA ESPERANZA,FEMENINO,TUNJA,A,,
GINA PAOLA,FEMENINO,TUNJA,A,,
GINA MARCELA,FEMENINO,TUNJA,A,,
DIANA MARITZA,FEMENINO,TUNJA,A,,
YEIMY CAROLINA,FEMENINO,TUNJA,A,,
YENNY VIVIANA,FEMENINO,TUNJA,A,,
HORTENCIA,FEMENINO,TUNJA,A,,
CLAUDIA MARCELA,FEMENINO,TUNJA,A,,
LIDA PAOLA,FEMENINO,TUNJA,A,,
GLADYS PATRICIA,FEMENINO,TUNJA,A,,
PAOLA ANDREA,FEMENINO,TUNJA,A,,
ROSA ELENA,FEMENINO,TUNJA,A,,
MARIA CRISTINA,FEMENINO,TUNJA,A,,
RUTH ALEJANDRA,FEMENINO,TUNJA,A,,
DIANA LORENA,FEMENINO,TUNJA,A,,
DIANA MILENA,FEMENINO,TUNJA,A,,
NUVIA ESPERANZA,FEMENINO,TUNJA,A,,
GELWY PATRICIA,FEMENINO,TUNJA,A,,
ERIKA TATIANA,FEMENINO,TUNJA,A,,
NYDIA ESPERANZA,FEMENINO,TUNJA,A,,
SANDRA MILENA,FEMENINO,TUNJA,A,,
CINDY TATIANA,FEMENINO,TUNJA,A,,
ANGELICA MARIA,FEMENINO,TUNJA,A,,
MARIA FERNANDA,FEMENINO,TUNJA,A,,
EDNA SOBEIDA,FEMENINO,TUNJA,A,,
MARIA ESTELA,FEMENINO,TUNJA,A,,
ESPERANZA,FEMENINO,TUNJA,A,,
JIMENA,FEMENINO,TUNJA,A,,
ELSA LILIANA,FEMENINO,TUNJA,A,,
YURY JIMENA,FEMENINO,TUNJA,A,,
YENNY YOHANA,FEMENINO,TUNJA,A,,
NATALIA,FEMENINO,TUNJA,A,,
DIANA PAOLA,FEMENINO,TUNJA,A,,
NIDIA,FEMENINO,TUNJA,A,,
JOHANA TATIANA,FEMENINO,TUNJA,A,,
MYRIAM ELENA,FEMENINO,TUNJA,A,,
MARIA LUISA,FEMENINO,TUNJA,A,,
DIANA SORAIDA,FEMENINO,TUNJA,A,,
ANGELA PATRICIA,FEMENINO,TUNJA,A,,
LINA MARIA,FEMENINO,TUNJA,A,,
LINA MARCELA,FEMENINO,TUNJA,A,,
JULIETH FERNANDA,FEMENINO,TUNJA,A,,
SANDRA LILIANA,FEMENINO,TUNJA,A,,
MARIA CAROLINA,FEMENINO,TUNJA,A,,
ALEJANDRA VANESSA,FEMENINO,TUNJA,A,,
DAYANA STEPHANIA,FEMENINO,TUNJA,A,,
DEISCY MARCELA,FEMENINO,TUNJA,A,,
LILIANA MARIA,FEMENINO,TUNJA,A,,
ROSA HELENA,FEMENINO,TUNJA,A,,
LUZ MARINA,FEMENINO,TUNJA,A,,
DIANA,FEMENINO,TUNJA,A,,
LUZ MARINA,FEMENINO,TUNJA,A,,
DAISSY JOHANNA,FEMENINO,TUNJA,A,,
ANGIE VANESSA,FEMENINO,TUNJA,A,,
DANIELA,FEMENINO,TUNJA,A,,
LEIDY JOHANA,FEMENINO,TUNJA,A,,
NICOLE DANIELA,FEMENINO,TUNJA,A,,
MARIA FERNANDA,FEMENINO,TUNJA,A,,
DEICY MARITZA,FEMENINO,TUNJA,A,,
JENNY XIMENA,FEMENINO,TUNJA,A,,
DIANA ESPERANZA,FEMENINO,TUNJA,A,,
YENY PATRICIA,FEMENINO,TUNJA,A,,
BERNARDA,FEMENINO,TUNJA,A,,
ANA SUSANA,FEMENINO,TUNJA,A,,
ANA MILENA,FEMENINO,TUNJA,A,,
LINA FERNANDA,FEMENINO,TUNJA,A,,
LISETH DAYANA,FEMENINO,TUNJA,A,,
LIDA,FEMENINO,TUNJA,A,,
GINA PAOLA,FEMENINO,TUNJA,A,,
MARIA TERESA,FEMENINO,TUNJA,A,,
HEIDY ALEXANDRA,FEMENINO,TUNJA,A,,
JULIETH ALEXANDRA,FEMENINO,TUNJA,A,,
DANIELA,FEMENINO,TUNJA,A,,
FABIOLA ANDREA,FEMENINO,TUNJA,A,,
MARTHA LUCIA,FEMENINO,TUNJA,A,,
ADRIANA,FEMENINO,TUNJA,A,,
LINA ALEXANDRA,FEMENINO,TUNJA,A,,
LUISA FERNANDA,FEMENINO,TUNJA,A,,
GLADYS ELENA,FEMENINO,TUNJA,A,,
ALBA PATRICIA,FEMENINO,TUNJA,A,,
LIDA PATRICIA,FEMENINO,TUNJA,A,,
JESSICA CAROLINA,FEMENINO,TUNJA,A,,
CARMEN ROSA,FEMENINO,TUNJA,A,,
DICNORA ALEJANDRA,FEMENINO,TUNJA,A,,
AURA MARIA,FEMENINO,TUNJA,A,,
LINA MARIA,FEMENINO,TUNJA,A,,
VIVIANA CAROLINA,FEMENINO,TUNJA,A,,
ERIKA ANDREA,FEMENINO,TUNJA,A,,
KAREN DANIELA,FEMENINO,TUNJA,A,,
DORIS ADRIANA,FEMENINO,TUNJA,A,,
MARIA ESTELLA,FEMENINO,TUNJA,A,,
VIVIANA,FEMENINO,TUNJA,A,,
PAULINA ALEJANDRA,FEMENINO,TUNJA,A,,
LORENA,FEMENINO,TUNJA,A,,
CAROLINA,FEMENINO,TUNJA,A,,
NATHALIA,FEMENINO,TUNJA,A,,
KAREN DAIANA,FEMENINO,TUNJA,A,,
